Positive Adverbs,Negative Adverbs,Adverbs About Time,Adverbs That Describe Speed,Manner Adverbs
boldly,angrily,always,promptly,accidentally
bravely,anxiously,eventually,quickly,awkwardly
brightly,badly,finally,rapidly,blindly
cheerfully,boastfully,frequently,slowly,coyly
deftly,foolishly,hourly,speedily,crazily
devotedly,hopelessly,never,tediously,defiantly
eagerly,irritably,occasionally,,deliberately
elegantly,jealously,often,,doubtfully
faithfully,lazily,rarely,,dramatically
fortunately,obnoxiously,regularly,,dutifully
gleefully,poorly,seldom,,enormously
gracefully,rudely,sometimes,,evenly
happily,selfishly,usually,,exactly
honestly,wearily,weekly,,hastily
innocently,,yearly,,hungrily
justly,,,,inquisitively
kindly,,,,loosely
merrily,,,,madly
obediently,,,,mortally
perfectly,,,,mysteriously
politely,,,,nervously
powerfully,,,,only
safely,,,,seriously
victoriously,,,,shakily
warmly,,,,sharply
vivaciously,,,,silently
,,,,solemnly
,,,,sternly
,,,,technically
,,,,unexpectedly
,,,,wildly
